trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.75}",25,0,-88.7581797130035,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.75}",20,0,-38.51822570768016,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.75, 'e': 0.75}",25,0,-92.52176062654522,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.75}",20,0,-63.84053186840106,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.75}",30,0,-216.6215701524176,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
6,False,"{'a': 0.75, 'e': 0.75}",25,0,-87.51759122705562,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.75, 'e': 0.75}",25,0,-160.63263740767377,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 3}",0
8,False,"{'a': 0.75, 'e': 0.75}",20,0,-156.99955899211145,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.75, 'e': 0.75}",30,0,-60.60490198875849,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.75}",30,8,-50.9623528277362,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 0}",1
11,False,"{'a': 0.75, 'e': 0.75}",30,0,-94.33971886945525,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.75}",20,0,-128.12612330627445,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.75, 'e': 0.75}",25,1,-37.71155373698759,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 0}",1
14,False,"{'a': 0.75, 'e': 0.75}",20,5,-64.67608934928059,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
15,False,"{'a': 0.75, 'e': 0.75}",25,0,-80.56370126851371,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.75, 'e': 0.75}",20,14,-13.122602664490431,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.75, 'e': 0.75}",20,0,-82.98394289774276,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
